YAL064W-B	YAL064W-B	YAL064W-B	Fungal-specific protein of unknown function
PGM2	YMR105C	PGM2	Phosphoglucomutase, catalyzes the conversion from glucose-1-phosphate to glucose-6-phosphate, which is a key step in hexose metabolism; functions as the acceptor for a Glc-phosphotransferase
HFD1	YMR110C	HFD1	Putative fatty aldehyde dehydrogenase, located in the mitochondrial outer membrane and also in lipid particles; has similarity to human fatty aldehyde dehydrogenase (FALDH) which is implicated in Sjogren-Larsson syndrome
MGR3	YMR115W	MGR3	Subunit of the mitochondrial (mt) i-AAA protease supercomplex, which degrades misfolded mitochondrial proteins; forms a subcomplex with Mgr1p that binds to substrates to facilitate proteolysis; required for growth of cells lacking mtDNA
SHH3	YMR118C	SHH3	Protein of unknown function with similarity to succinate dehydrogenase cytochrome b subunit; YMR118C is not an essential gene
NCW1	YMR122W-A	NCW1	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and endoplasmic reticulum
LDO45	YMR147W	LDO45	Putative protein of unknown function
IMP1	YMR150C	IMP1	Catalytic subunit of the mitochondrial inner membrane peptidase complex, required for maturation of mitochondrial proteins of the intermembrane space; complex contains Imp1p and Imp2p (both catalytic subunits), and Som1p
YIM1	YMR152W	YIM1	Protein of unknown function; null mutant displays sensitivity to DNA damaging agents; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
ATG16	YMR159C	ATG16	Conserved protein that interacts with Atg12p-Atg5p conjugates to form Atg12p-Atg5p-Atg16p multimers, which localize to the pre-autophagosomal structure and are required for autophagy
YMR160W	YMR160W	YMR160W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the membrane of the vacuole; mutant has enhanced sensitivity to overexpression of mutant huntingtin; YMR160W is not an essential gene
DNF3	YMR162C	DNF3	Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles; localizes to the trans-Golgi network; likely involved in protein transport; type 4 P-type ATPase
MSS11	YMR164C	MSS11	Transcription factor involved in regulation of invasive growth and starch degradation; controls the activation of MUC1 and STA2 in response to nutritional signals
PAH1	YMR165C	PAH1	Mg<sup>2+</sup>-dependent phosphatidate (PA) phosphatase, catalyzes the dephosphorylation of PA to yield diacylglycerol and P<sub>i</sub>, responsible for de novo lipid synthesis; homologous to mammalian lipin 1
ALD3	YMR169C	ALD3	Cytoplasmic aldehyde dehydrogenase, involved in beta-alanine synthesis; uses NAD+ as the preferred coenzyme; very similar to Ald2p; expression is induced by stress and repressed by glucose
HOT1	YMR172W	HOT1	Transcription factor required for the transient induction of glycerol biosynthetic genes GPD1 and GPP2 in response to high osmolarity; targets Hog1p to osmostress responsive promoters; has similarity to Msn1p and Gcr1p
YMR172C-A	YMR172C-A	YMR172C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data
DDR48	YMR173W	DDR48	DNA damage-responsive protein, expression is increased in response to heat-shock stress or treatments that produce DNA lesions; contains multiple repeats of the amino acid sequence NNNDSYGS
PAI3	YMR174C	PAI3	Cytoplasmic proteinase A (Pep4p) inhibitor, dependent on Pbs2p and Hog1p protein kinases for osmotic induction; intrinsically unstructured, N-terminal half becomes ordered in the active site of proteinase A upon contact
SIP18	YMR175W	SIP18	Phospholipid-binding hydrophilin with a role in dessication resistance; expression is induced by osmotic stress
ECM5	YMR176W	ECM5	Non-essential protein of unknown function, contains ATP/GTP-binding site motif A; null mutant exhibits cellular volume up to four times greater than wild-type, also large drooping buds with elongated necks
YMR181C	YMR181C	YMR181C	Protein of unknown function; mRNA transcribed as part of a bicistronic transcript with a predicted transcriptional repressor RGM1/YMR182C; mRNA is destroyed by nonsense-mediated decay (NMD); YMR181C is not an essential gene
SSO2	YMR183C	SSO2	Plasma membrane t-SNARE involved in fusion of secretory vesicles at the plasma membrane; syntaxin homolog that is functionally redundant with Sso1p
YMR187C	YMR187C	YMR187C	Putative protein of unknown function; YMR187C is not an essential gene
YMR196W	YMR196W	YMR196W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YMR196W is not an essential gene
ERG2	YMR202W	ERG2	C-8 sterol isomerase, catalyzes the isomerization of the delta-8 double bond to the delta-7 position at an intermediate step in ergosterol biosynthesis
TRS130	YMR218C	TRS130	One of 10 subunits of the transport protein particle (TRAPP) complex of the cis-Golgi which mediates vesicle docking and fusion; involved in ER to Golgi membrane traffic; mutation activates transcription of OCH1
ESC1	YMR219W	ESC1	Protein localized to the nuclear periphery, involved in telomeric silencing; interacts with PAD4-domain of Sir4p
ERG8	YMR220W	ERG8	Phosphomevalonate kinase, an essential cytosolic enzyme that acts in the biosynthesis of isoprenoids and sterols, including ergosterol, from mevalonate
MRE11	YMR224C	MRE11	Subunit of a complex with Rad50p and Xrs2p (MRX complex) that functions in repair of DNA double-strand breaks and in telomere stability, exhibits nuclease activity that appears to be required for MRX function; widely conserved
MTF1	YMR228W	MTF1	Mitochondrial RNA polymerase specificity factor with structural similarity to S-adenosylmethionine-dependent methyltransferases and functional similarity to bacterial sigma-factors, interacts with mitochondrial core polymerase Rpo41p
FUS2	YMR232W	FUS2	Cytoplasmic protein localized to the shmoo tip; required for the alignment of parental nuclei before nuclear fusion during mating
YMR244W	YMR244W	YMR244W	Putative protein of unknown function
GAD1	YMR250W	GAD1	Glutamate decarboxylase, converts glutamate into gamma-aminobutyric acid (GABA) during glutamate catabolism; involved in response to oxidative stress
HOR7	YMR251W-A	HOR7	Protein of unknown function; overexpression suppresses Ca2+ sensitivity of mutants lacking inositol phosphorylceramide mannosyltransferases Csg1p and Csh1p; transcription is induced under hyperosmotic stress and repressed by alpha factor
COX7	YMR256C	COX7	Subunit VII of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain
TPS3	YMR261C	TPS3	Regulatory subunit of trehalose-6-phosphate synthase/phosphatase complex, which synthesizes the storage carbohydrate trehalose; expression is induced by stress conditions and repressed by the Ras-cAMP pathway
ZDS1	YMR273C	ZDS1	Protein with a role in regulating Swe1p-dependent polarized growth; interacts with silencing proteins at the telomere; has a role in Bcy1p localization; implicated in mRNA nuclear export; involved in mitotic exit through Cdc14p regulation
BUL1	YMR275C	BUL1	Ubiquitin-binding component of the Rsp5p E3-ubiquitin ligase complex, functional homolog of Bul2p, disruption causes temperature-sensitive growth, overexpression causes missorting of amino acid permeases
YMR279C	YMR279C	YMR279C	Putative boron transporter involved in boron efflux and resistance; overexpression mutant but not null mutant displays boron tolerance phenotype; identified as a heat-induced gene in a high-throughout screen; YMR279C is not an essential gene; paralog of the efflux pump ATR1
GPI12	YMR281W	GPI12	ER membrane protein involved in the second step of glycosylphosphatidylinositol (GPI) anchor assembly, the de-N-acetylation of the N-acetylglucosaminylphosphatidylinositol intermediate; functional homolog of human PIG-Lp
YKU70	YMR284W	YKU70	Subunit of the telomeric Ku complex (Yku70p-Yku80p), involved in telomere length maintenance, structure and telomere position effect; relocates to sites of double-strand cleavage to promote nonhomologous end joining during DSB repair
JNM1	YMR294W	JNM1	Component of the yeast dynactin complex, consisting of Nip100p, Jnm1p, and Arp1p; required for proper nuclear migration and spindle partitioning during mitotic anaphase B
PRC1	YMR297W	PRC1	Vacuolar carboxypeptidase Y (proteinase C; CPY), broad-specificity C-terminal exopeptidase involved in non-specific protein degradation in the vacuole; member of the serine carboxypeptidase family
LIP1	YMR298W	LIP1	Ceramide synthase subunit; single-span ER membrane protein associated with Lag1p and Lac1p and required for ceramide synthase activity, null mutant grows extremely slowly and is defective in ceramide synthesis
YME2	YMR302C	YME2	Integral inner mitochondrial membrane protein with a role in maintaining mitochondrial nucleoid structure and number; mutants exhibit an increased rate of mitochondrial DNA escape; shows some sequence similarity to exonucleases
ADH2	YMR303C	ADH2	Glucose-repressible alcohol dehydrogenase II, catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
UBP15	YMR304W	UBP15	Ubiquitin-specific protease involved in protein deubiquitination; catalytic activity regulated by an N-terminal TRAF-like domain and and C-terminal sequences; physically interacts with anaphase-promoting complex/cyclosome (APC/C) activator, Cdh1p
SCW10	YMR305C	SCW10	Cell wall protein with similarity to glucanases; may play a role in conjugation during mating based on mutant phenotype and its regulation by Ste12p
FKS3	YMR306W	FKS3	Protein involved in spore wall assembly, has similarity to 1,3-beta-D-glucan synthase catalytic subunits Fks1p and Gsc2p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
GLC8	YMR311C	GLC8	Regulatory subunit of protein phosphatase 1 (Glc7p), involved in glycogen metabolism and chromosome segregation; proposed to regulate Glc7p activity via conformational alteration; ortholog of the mammalian protein phosphatase inhibitor 2
YMR317W	YMR317W	YMR317W	Putative protein of unknown function with some similarity to sialidase from Trypanosoma; YMR317W is not an essential gene
AAD14	YNL331C	AAD14	Putative aryl-alcohol dehydrogenase; similar to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role
MDJ2	YNL328C	MDJ2	Constituent of the mitochondrial import motor associated with the presequence translocase; function overlaps with that of Pam18p; stimulates the ATPase activity of Ssc1p to drive mitochondrial import; contains a J domain
VNX1	YNL321W	VNX1	Calcium/H+ antiporter localized to the endoplasmic reticulum membrane; member of the calcium exchanger (CAX) family; potential Cdc28p substrate
CAF40	YNL288W	CAF40	Evolutionarily conserved subunit of the CCR4-NOT complex involved in controlling mRNA initiation, elongation and degradation; binds Cdc39p
WSC2	YNL283C	WSC2	Partially redundant sensor-transducer of the stress-activated PKC1-MPK1 signaling pathway involved in maintenance of cell wall integrity and recovery from heat shock; secretory pathway Wsc2p is required for the arrest of secretion response
GOR1	YNL274C	GOR1	Glyoxylate reductase; null mutation results in increased biomass after diauxic shift; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
SLA2	YNL243W	SLA2	Transmembrane actin-binding protein involved in membrane cytoskeleton assembly and cell polarization; adaptor protein that links actin to clathrin and endocytosis; present in the actin cortical patch of the emerging bud tip; dimer in vivo
ATG2	YNL242W	ATG2	Peripheral membrane protein required for vesicle formation during autophagy, pexophagy, and the cytoplasm-to-vaucole targeting (Cvt) pathway; involved in Atg9p cycling between the phagophore assembly site and mitochondria
YTP1	YNL237W	YTP1	Probable type-III integral membrane protein of unknown function, has regions of similarity to mitochondrial electron transport proteins
